title,authors,year,journal,doi,uid,countries,abstract,citations,references,keywords,subtypeDescription,relevance_score
Poor reporting quality of randomized controlled trials comparing treatments of COVID-19-A retrospective cross-sectional study on the first year of publications,"Gruesser, Linda; Eissing, Charlotte; Kowark, Ana; Keszei, Andras P.; Wallqvist, Julia; Rossaint, Rolf; Ziemann, Sebastian; PUBLIC LIBRARY SCIENCE; Gruesser, Linda; Wallqvist, Julia; Rossaint, Rolf; Ziemann, Sebastian; Eissing, Charlotte; Kowark, Ana; Keszei, Andras P.; Gruesser, Linda; Ziemann, Sebastian",2023,PLOS ONE,10.1371/journal.pone.0292860,WOS:001087884000002,Germany,"Introduction Transparent and complete reporting of randomized controlled trials (RCTs) is essential for critical scientific appraisal of the results. It has been argued whether publications during the COVID-19 pandemic have met reporting standards. In this study, we assessed reporting adherence of RCTs on treatment interventions in COVID-19 patients to the CONSORT checklist and discuss which lessons can be learned to improve reporting in the future.Methods This was a retrospective, cross-sectional study performed at the University Hospital RWTH Aachen, Germany. We conducted a pragmatic systematic literature search in the PubMed database to identify RCTs on treatment interventions in COVID-19 patients in the first year of publications on the topic (March 2020-February 2021). We investigated the adherence of each publication to the CONSORT checklist and assessed the association between specific predictors and percentage adherence in an exploratory multivariable regression model.Results We analyzed 127 RCTs and found that the median percentage adherence to the CONSORT checklist was 54.3% [IQR 38.9 to 65.7]. In the exploratory multivariable regression model, the impact factor (highest tertile of impact factor compared to lowest tertile ss = 21.77, 95% CI 13.89 to 29.66, p<0.001; middle tertile compared lowest tertile ss = 11.79, 95% CI 5.74 to 17.84, p<0.001)) and authors' referral to the CONSORT statement (ss = 9.29, 95% CI 2.98 to 15.60, p = 0.004) were associated with a higher percentage adherence to the CONSORT checklist.Conclusion The reporting quality of RCTs on treatment interventions in COVID-19 patients during the first year of publications was poor. Measures to improve reporting quality are urgently needed.",0,0,CLINICAL QUERIES; GUIDELINES; STATEMENT; MEDLINE,Article,0
PresRecST: a novel herbal prescription recommendation algorithm for real-world patients with integration of syndrome differentiation and treatment planning,"Dong, Xin; Zhao, Chenxi; Song, Xinpeng; Zhang, Lei; Liu, Yu; Wu, Jun; Xu, Yiran; Xu, Ning; Liu, Jialing; Yu, Haibin; Yang, Kuo; Zhou, Xuezhong; OXFORD UNIV PRESS; Dong, Xin; Zhao, Chenxi; Song, Xinpeng; Liu, Yu; Wu, Jun; Liu, Jialing; Yang, Kuo; Zhou, Xuezhong; Zhang, Lei; Xu, Ning; Xu, Yiran; Yu, Haibin; Yu, Haibin; Yang, Kuo; Zhou, Xuezhong; Yu, Haibin; Yang, Kuo; Zhou, Xuezhong; Yu, Haibin; Xia, Chen; LIU, Chunjiao; Zhou, Xuezhong; feng, lili",2024,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,10.1093/jamia/ocae066,WOS:001199556400001,Peoples R China; USA,"Objectives Herbal prescription recommendation (HPR) is a hot topic and challenging issue in field of clinical decision support of traditional Chinese medicine (TCM). However, almost all previous HPR methods have not adhered to the clinical principles of syndrome differentiation and treatment planning of TCM, which has resulted in suboptimal performance and difficulties in application to real-world clinical scenarios.Materials and Methods We emphasize the synergy among diagnosis and treatment procedure in real-world TCM clinical settings to propose the PresRecST model, which effectively combines the key components of symptom collection, syndrome differentiation, treatment method determination, and herb recommendation. This model integrates a self-curated TCM knowledge graph to learn the high-quality representations of TCM biomedical entities and performs 3 stages of clinical predictions to meet the principle of systematic sequential procedure of TCM decision making.Results To address the limitations of previous datasets, we constructed the TCM-Lung dataset, which is suitable for the simultaneous training of the syndrome differentiation, treatment method determination, and herb recommendation. Overall experimental results on 2 datasets demonstrate that the proposed PresRecST outperforms the state-of-the-art algorithm by significant improvements (eg, improvements of P@5 by 4.70%, P@10 by 5.37%, P@20 by 3.08% compared with the best baseline).Discussion The workflow of PresRecST effectively integrates the embedding vectors of the knowledge graph for progressive recommendation tasks, and it closely aligns with the actual diagnostic and treatment procedures followed by TCM doctors. A series of ablation experiments and case study show the availability and interpretability of PresRecST, indicating the proposed PresRecST can be beneficial for assisting the diagnosis and treatment in real-world TCM clinical settings.Conclusion Our technology can be applied in a progressive recommendation scenario, providing recommendations for related items in a progressive manner, which can assist in providing more reliable diagnoses and herbal therapies for TCM clinical task.",0,0,progressive herbal recommendation; deep neural network; syndrome differentiation; treatment method determination; real-world clinical decision support; TOPIC MODEL; NETWORK,Article,2
Cost transferability problems in economic evaluation as a framework for an European health care and social costs database,"Garcia-Mochon, Leticia; Rovira Forns, Joan; Espin, Jaime; BMC; Garcia-Mochon, Leticia; Rovira Forns, Joan; Espin, Jaime; Garcia-Mochon, Leticia; Espin, Jaime; Garcia-Mochon, Leticia; Espin, Jaime; Garcia-Mochon, Leticia; Espin, Jaime; Espin, Jaime; Mochón, Leticia; Garcia-Mochon, Leticia",2021,COST EFFECTIVENESS AND RESOURCE ALLOCATION,10.1186/s12962-021-00294-4,WOS:000675568500001,Spain,"This article presents part of the work within Work Package 3 (WP3) of Impact HTA (Improved methods and actionable tools for enhancing HTA), a H2020 EU-funded research project, intended to enhance and promote collaboration in HTA across EU MS. Amongst other objectives, and in close collaboration with WP4, WP3 addressed setting up a multi-country unit-cost database: the European health care and social costs database (EU HCSCD). The purpose of the database is to facilitate the transference of healthcare economic evaluation analyses across countries, jurisdictions and settings. WP3 concentrates on healthcare costs; WP4 on social costs. This paper discusses the state of the art on this topic, building an appropriate conceptual and theoretical framework for Database development. We conducted a broad, but not systematic, literature and gray-literature review (LR), identifying existing practices and problems, and their implications, described in the Results section. We discuss practical implications and draw important conclusions behind the construction, and future evolution, of this database.",0,0,Transferability; HC cost database; Economic evaluation; Health technology; TECHNOLOGY-ASSESSMENT; GENERALIZABILITY; GUIDELINES; RECOMMENDATIONS; EASTERN; ISSUES; LISTS; MODEL,Review,0
Generating real-world evidence from unstructured clinical notes to examine clinical utility of genetic tests: use case in BRCAness,"Zhao, Yiqing; Weroha, Saravut J.; Goode, Ellen L.; Liu, Hongfang; Wang, Chen; BMC; Zhao, Yiqing; Liu, Hongfang; Weroha, Saravut J.; Goode, Ellen L.; Wang, Chen; Wang, Chen; Zhao, Yiqing; Zhao, Yiqing; Liu, Hongfang; Wang, Chen",2021,BMC MEDICAL INFORMATICS AND DECISION MAKING,10.1186/s12911-020-01364-y,WOS:000608043800001,USA,"Background: Next-generation sequencing provides comprehensive information about individuals' genetic makeup and is commonplace in oncology clinical practice. However, the utility of genetic information in the clinical decision-making process has not been examined extensively from a real-world, data-driven perspective. Through mining real-world data (RWD) from clinical notes, we could extract patients' genetic information and further associate treatment decisions with genetic information.",0,0,Precision medicine; Real-world evidence; BRCA1/2; PARP inhibitor; Electronic health records; Natural language processing; ELECTRONIC HEALTH RECORDS; INDIVIDUALIZED MEDICINE; CANCER; PHENOTYPES; VARIANTS; BRCA1,Article,1
"Comparison of Regorafenib, Fruquintinib, and TAS-102 in Previously Treated Patients with Metastatic Colorectal Cancer: A Systematic Review and Network Meta-Analysis of Five Clinical Trials","Chen, Jianxin; Wang, Junhui; Lin, Hai; Peng, Yonghai; INT SCIENTIFIC INFORMATION, INC; Chen, Jianxin; Wang, Junhui; Lin, Hai; Peng, Yonghai; Peng, Yonghai",2019,MEDICAL SCIENCE MONITOR,10.12659/MSM.918411,WOS:000500203400003,Peoples R China,"Background: This study aimed to conduct a systematic review of the literature to identify key randomized controlled clinical trials (RCTs), followed by network meta-analysis, to compare the efficacy and safety profiles of regorafenib, fruquintinib, and TAS-102 in previously treated patients with metastatic colorectal carcinoma (mCRC).",0,0,Colorectal Neoplasms; Matched-Pair Analysis; Meta-Analysis as Topic; DOUBLE-BLIND; PERFORMANCE STATUS; ASIAN PATIENTS; PLACEBO; MULTICENTER; TRIFLURIDINE/TIPIRACIL; CHEMOTHERAPY; MONOTHERAPY; PROGNOSIS,Review,0
Physical Activity and Quality of Life in Hemodialysis Patients and Healthy Controls: A Cross-Sectional Study,"Filipcic, Tjasa; Bogataj, Spela; Pajek, Jernej; Pajek, Maja; MDPI; Filipcic, Tjasa; Bogataj, Spela; Pajek, Jernej; Bogataj, Spela; Pajek, Maja; Pajek, Jernej; Pajek, Maja; Bogataj, Spela; Pajek, Maja; Pajek, Jernej",2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,10.3390/ijerph18041978,WOS:000623585300001,Slovenia,"Hemodialysis (HD) patients have lower functional abilities compared to healthy people, and this is associated with lower physical activity in everyday life. This may affect their quality of life, but research on this topic is limited. Therefore, the present study aimed to determine the relationship between habitual physical activity and quality of life in HD patients and healthy controls. Ninety-three HD patients and 140 controls participated in the study. Quality of life was assessed using a 36-item medical outcomes study short-form health survey (SF-36). Human Activity Profile (HAP) was used to assess habitual physical activity. The adjusted activity score (AAS) from HAP, age, gender, fat tissue index (FTI), lean tissue index (LTI), and Davies comorbidity score were analyzed as possible predictors of the Physical Component Summary (PCS) of the SF-36. Three sequential linear models were used to model PCS. In Model 1, PCS was regressed by gender and age; in Model 2 the LTI, FTI, and Davies comorbidity scores were added. Model 3 also included AAS. After controlling for age and gender (Model(HD) 1: p = 0.056), LTI, FTI, and Davies comorbidity score effects (Model(HD) 2: p = 0.181), the AAS accounted for 32% of the variation in PCS of HD patients (Model(HD) 3: p < 0.001). Consequently, the PCS of HD patients would increase by 0.431 points if the AAS increased by one point. However, in healthy controls, AAS had a lower impact than in the HD sample (B = 0.359 vs. 0.431), while the corresponding effects of age and gender (Model(H) 1: p < 0.001), LTI, FTI, and Davies comorbidity score (Model(H) 2: p < 0.001) were adjusted for. The proportion of variation in PCS attributed to AAS was 14.9% (Model(H) 3: p < 0.001). The current study results showed that physical activity in everyday life as measured by the HAP questionnaire is associated to a higher degree with the quality of life of HD patients than in healthy subjects. Routine physical activity programs are therefore highly justified, and the nephrology community should play a leading role in this effort.",0,0,quality of life; hemodialysis patients; physical functioning; impact; human activity profile; CHRONIC KIDNEY-DISEASE; MORTALITY; EXERCISE; TIME,Article,0
Clinical paper Efficacy of emergency department calcium administration in cardiac arrest: A 9-year retrospective evaluation,"Dillon, David G.; Wang, Ralph C.; Shetty, Pranav; Douchee, Jeremiah; Rodriguez, Robert M.; Montoy, Juan Carlos C.; ELSEVIER IRELAND LTD; Dillon, David G.; Shetty, Pranav; Wang, Ralph C.; Rodriguez, Robert M.; Montoy, Juan Carlos C.; Douchee, Jeremiah; Dillon, David G.; Dillon, David G.; Dillon, David; Shetty, Pralav",2023,RESUSCITATION,10.1016/j.resuscitation.2023.109933,WOS:001063759400001,USA,"Background: The efficacy of empiric calcium for patients with undifferentiated cardiac arrest has come under increased scrutiny, including a randomized controlled trial that was stopped early due to a trend towards harm with calcium administration. However, small sample sizes and nonsignificant findings have hindered precise effect estimates. In this analysis we evaluate the association of calcium administration with survival in a large retrospective cohort of patients with cardiac arrest treated in the emergency department (ED). Methods: We conducted a retrospective review of medical records from two academic hospitals (one quaternary care center, one county trauma center) in San Francisco between 2011 and 2019. Inclusion criteria were patients aged greater than or equal to 18 years old who received treatment for cardiac arrest during their ED course. Our primary exposure was the administration of calcium while in the ED and the main outcome was survival to hospital admission. The association between calcium and survival to admission was estimated using a multivariable log-binomial regression, and also with two propensity score models. Results: We examined 781 patients with cardiac arrest treated in San Francisco EDs between 2011 and 2019 and found that calcium administration was associated with decreased survival to hospital admission (RR 0.74; 95% CI 0.66-0.82). These findings remained significant after adjustment for patient age, sex, whether the cardiac arrest was witnessed, and including an interaction term for shockable cardiac rhythms (RR 0.60; 95% CI 0.50- 0.72) and non-shockable cardiac rhythms (RR 0.87; 95% CI 0.76-0.99). Risk ratios for the association between calcium and survival to hospital admission were also similar between two propensity score-based models: nearest neighbor propensity matching model (RR 0.79; 95% CI 0.68- 0.89) and inverse propensity weighted regression adjustment model (RR 0.75; 95% CI 0.67-0.84). Conclusions: Calcium administration as part of ED-directed treatment for cardiac arrest was associated with lower survival to hospital admission. Given the lack of statistically significant outcomes from smaller, more methodologically robust evaluations on this topic, we believe these findings have an important role to serve in confirming previous results and allowing for more precise effect estimates. Our data adds to the growing body evidence against the empiric use of calcium in cardiac arrest.",1,0,Address; Anesthesia procedures; Area; Basic Science; Belief; Cardiopulmonary; Cardiovascular Diseases; Cardiovascular system; Career Mobility; Clinical; Clinical Research; Clinical Sciences; Communication; Credentialing; Diagnosis; Discipline; Disease; Doctor of Philosophy; Educational Status; Ensure; Faculty; Foundations; Funding; Future; Goals; Heart Diseases; Influentials; Institutes; Internal Medicine; Investigation; Leadership; Lung; Lung diseases; Mentors; Mentorship; Methodology; Molecular Medicine; Outcome; Pathway interactions; Patient Care; Pediatrics; Population Sciences; Prevention; Research; Research Methodology; Research Personnel; Research Project Grants; Research Support; Research Training; Residencies; Science; Scientific Advances and Accomplishments; Scientist; Time; Training; Training Programs; Translating; Translational Research; Work; career; career development; clinical investigation; clinically relevant; design; dissemination research; education resources; epidemiology study; experience; faculty mentor; faculty research; human subject; human tissue; implementation research; interest; multidisciplinary; population based; programs; recruit; skills; synergism; tool; translational scientist; Cardiac arrest; Calcium; Out-of-hospital cardiac arrest; Pharmacotherapy; Emergency medicine; RESUSCITATION; ASSOCIATION; CHLORIDE,Article,0
Adding to the knowledge on Patient and Public Involvement: Reflections from an experience of co-research with carers of people with dementia,"Di Lorito, Claudio; Godfrey, Maureen; Dunlop, Marianne; Bosco, Alessandro; Pollock, Kristian; van der Wardt, Veronika; Harwood, Rowan H.; WILEY; Di Lorito, Claudio; Godfrey, Maureen; Dunlop, Marianne; Bosco, Alessandro; Pollock, Kristian; Harwood, Rowan H.; van der Wardt, Veronika; Di Lorito, Claudio; Harwood, Rowan; van der Wardt, Veronika; van der Wardt, Veronika; Di Lorito, Claudio; Bosco, Alessandro",2020,HEALTH EXPECTATIONS,10.1111/hex.13049,WOS:000543658400018,England; Germany,"Background Patient and Public Involvement (PPI) in research ensures that publicly funded research reflects the priorities of the people who will be affected by its results. Co-research, a branch of PPI, is equal partnership between academic researchers and members of the public, who steer and conduct research together. Objectives To propose a model for good practice in co-researching with carers of people with dementia, by reporting and synthesizing the personal reflections of the academic and lay researchers around the methodological issues, benefits, and challenges of co-research. Design An academic researcher and two lay researchers with lived experience of caring with someone with dementia collaborated in all stages of a qualitative research study, including development of the research protocol and topic guide, data collection, analysis and synthesis, and dissemination of findings. Throughout the study, the academic and lay researchers annotated reflections of their experience in personal diaries. Data from the diaries were synthesized and mapped out in a model for good practice in co-research. Results Co-research yielded benefits for all those involved and on research outputs. There were practicalities and challenges that required extra resources, in order to make the involvement of lay researchers meaningful and effective. Discussion The model for good practice illustrates overarching and stage-specific guidelines, which can inform researchers and members of the public wishing to undertake good practice in co-research.",0,0,carers; co-research; dementia; patient and public involvement (PPI); qualitative research; ADULTS,Article,0
Artificial Intelligence Can Generate Fraudulent but Authentic-Looking Scientific Medical Articles: Pandora's Box Has Been Opened,"Majovsky, Martin; Cerny, Martin; Kasal, Mat Ej; Komarc, Martin; Netuka, David; JMIR PUBLICATIONS, INC; Majovsky, Martin; Cerny, Martin; Netuka, David; Kasal, Mat Ej; Komarc, Martin; Komarc, Martin; Majovsky, Martin; Majovsky, Martin; Netuka, David; Kasal, Matej; Cerny, Martin; Černý, Martin; Komarc, Martin; Majovsky, Martin; Komarc, Martin",2023,JOURNAL OF MEDICAL INTERNET RESEARCH,10.2196/46924,WOS:001022158000003,Czech Republic,"Background: Artificial intelligence (AI) has advanced substantially in recent years, transforming many industries and improving the way people live and work. In scientific research, AI can enhance the quality and efficiency of data analysis and publication. However, AI has also opened up the possibility of generating high-quality fraudulent papers that are difficult to detect, raising important questions about the integrity of scientific research and the trustworthiness of published papers.Objective: The aim of this study was to investigate the capabilities of current AI language models in generating high-quality fraudulent medical articles. We hypothesized that modern AI models can create highly convincing fraudulent papers that can easily deceive readers and even experienced researchers. Methods: This proof-of-concept study used ChatGPT (Chat Generative Pre-trained Transformer) powered by the GPT-3 (Generative Pre-trained Transformer 3) language model to generate a fraudulent scientific article related to neurosurgery. GPT-3 is a large language model developed by OpenAI that uses deep learning algorithms to generate human-like text in response to prompts given by users. The model was trained on a massive corpus of text from the internet and is capable of generating high-quality text in a variety of languages and on various topics. The authors posed questions and prompts to the model and refined them iteratively as the model generated the responses. The goal was to create a completely fabricated article including the abstract, introduction, material and methods, discussion, references, charts, etc. Once the article was generated, it was reviewed for accuracy and coherence by experts in the fields of neurosurgery, psychiatry, and statistics and compared to existing similar articles.Results: The study found that the AI language model can create a highly convincing fraudulent article that resembled a genuine scientific paper in terms of word usage, sentence structure, and overall composition. The AI-generated article included standard sections such as introduction, material and methods, results, and discussion, as well a data sheet. It consisted of 1992 words and 17 citations, and the whole process of article creation took approximately 1 hour without any special training of the human user. However, there were some concerns and specific mistakes identified in the generated article, specifically in the references.Conclusions: The study demonstrates the potential of current AI language models to generate completely fabricated scientific articles. Although the papers look sophisticated and seemingly flawless, expert readers may identify semantic inaccuracies and errors upon closer inspection. We highlight the need for increased vigilance and better detection methods to combat the potential misuse of AI in scientific research. At the same time, it is important to recognize the potential benefits of using AI language models in genuine scientific writing and research, such as manuscript preparation and language editing.",0,0,artificial intelligence; publications; ethics; neurosurgery; ChatGPT; language models; fraudulent medical articles,Article,3
"Artificial Intelligence and Machine Learning for Improving Glycemic Control in Diabetes: Best Practices, Pitfalls, and Opportunities","Jacobs, Peter G.; Herrero, Pau; Facchinetti, Andrea; Vehi, Josep; Kovatchev, Boris; Breton, Marc D.; Cinar, Ali; Nikita, Konstantina S.; Doyle, Francis J., III; Bondia, Jorge; Battelino, Tadej; Castle, Jessica R.; Zarkogianni, Konstantia; Narayan, Rahul; Mosquera-Lopez, Clara; IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC; Jacobs, Peter G.; Narayan, Rahul; Herrero, Pau; Facchinetti, Andrea; Vehi, Josep; Vehi, Josep; Bondia, Jorge; Kovatchev, Boris; Breton, Marc D.; Cinar, Ali; Nikita, Konstantina S.; Doyle, Francis J., III; Bondia, Jorge; Battelino, Tadej; Battelino, Tadej; Castle, Jessica R.; Zarkogianni, Konstantia; Castle, Jessica R.; Mosquera-Lopez, Clara; Jacobs, Peter G.; Kovatchev, Boris; Zarkogianni, Konstantia; Vehi, Josep; Herrero, Pau; Breton, Marc; Bondia, Jorge; Cinar, Ali; Zarkogianni, Konstantia; Doyle, Francis; Battelino, Tadej; Nikita, Konstantina; Cinar, Ali; Jacobs, Peter; Herrero, Pau; López, Clara",2024,IEEE REVIEWS IN BIOMEDICAL ENGINEERING,10.1109/RBME.2023.3331297,WOS:001166967200023,USA; Spain; Italy; Greece; Slovenia; Netherlands,"Objective: Artificial intelligence and machine learning are transforming many fields including medicine. In diabetes, robust biosensing technologies and automated insulin delivery therapies have created a substantial opportunity to improve health. While the number of manuscripts addressing the topic of applying machine learning to diabetes has grown in recent years, there has been a lack of consistency in the methods, metrics, and data used to train and evaluate these algorithms. This manuscript provides consensus guidelines for machine learning practitioners in the field of diabetes, including best practice recommended approaches and warnings about pitfalls to avoid. Methods: Algorithmic approaches are reviewed and benefits of different algorithms are discussed including importance of clinical accuracy, explainability, interpretability, and personalization. We review the most common features used in machine learning applications in diabetes glucose control and provide an open-source library of functions for calculating features, as well as a framework for specifying data sets using data sheets. A review of current data sets available for training algorithms is provided as well as an online repository of data sources. Significance: These consensus guidelines are designed to improve performance and translatability of new machine learning algorithms developed in the field of diabetes for engineers and data scientists.",0,0,Diabetes; Insulin; Glucose; Medical treatment; Machine learning; Best practices; Guidelines; machine learning; artificial intelligence; deep learning; decision support; automated insulin delivery; glucose prediction; data science; feature engineering; MODEL-PREDICTIVE CONTROL; EVALUATING CLINICAL ACCURACY; AUTOMATED INSULIN DELIVERY; MULTIPLE DAILY INJECTIONS; GLUCOSE MONITORING CGM; REAL-TIME PREDICTION; PHYSICAL-ACTIVITY; BOLUS CALCULATOR; NEURAL-NETWORK; PSYCHOLOGICAL STRESS,Article,2
